German,Greek
ich,εγώ
sie,αυτή
das,ο
ist,είναι
du,εσείς
nicht,δεν
die,ο
es,το
und,και
der,ο
wir,εμείς
was,Τι
zu,να
er,αυτός
ein,ένα
in,σε
mir,μου
mit,με
ja,Ναί
den,ο
wie,Πως
mich,μου
auf,επί
dass,ότι
eine,ένας
aber,αλλά
so,έτσι
hat,έχει
hier,εδώ
haben,έχω
sind,εκτάριο
f√ºr,f√ºr
von,από
dich,εσείς
war,ήταν
wenn,αν
ihr,αυτήν
habe,έχω
nein,Όχι
an,να
bin,π.μ
noch,ακόμη
da,εκεί
dir,εσείς
nur,μόνο
einen,ένα
sich,εαυτό
uns,μας
hast,έχω
dem,αυτοί
kann,κουτί
sein,είναι
auch,επίσης
ihn,αυτόν
schon,ήδη
als,ως
jetzt,τώρα
gut,καλός
mal,μόλις
aus,έξω από
um,να
meine,ορυχείο
dann,τότε
wird,γίνεται
im,στο
bist,εκτάριο
mein,μου
doch,αλλά
alles,πάντα
keine,Όχι
wei√ü,λευκό√ü
oder,ή
nach,μετά
s,μικρό
werden,γίνομαι
nichts,τίποτα
man,άνθρωπος
wo,όπου
ihnen,τους
etwas,κάτι
muss,πρέπει
will,θα
geht,πηγαίνει
oh,Ω
mehr,περισσότερο
also,έτσι
bei,στο
immer,πάντοτε
bitte,παρακαλώ
warum,Γιατί
hab,έχω
vor,προτού
los,πάω
k√∂nnen,k√∂n
wieder,πάλι
sagen,λέγω
machen,μάρκα
alle,όλοι
sehr,πολύ
mann,άνθρωπος
okay,ΕΝΤΑΞΕΙ
gehen,πάω
denn,επειδή
zum,για το
tun,κάνω
ihm,αυτόν
diese,αυτό
danke,Ευχαριστώ
sehen,βλέπω
wer,ΠΟΥ
einem,ένα
euch,εσείς
komm,Έλα
vielleicht,ίσως
einer,ένας
ihre,αυτήν
werde,γίνομαι
gibt,δίνει
√ºber,√ºber
deine,σας
wissen,γνώση
m√ºssen,πρέπει
wirklich,πραγματικά
soll,θα έπρεπε
nie,ποτέ
weg,μακριά
hey,γεια
kein,Όχι
des,ο
w√ºrde,w√ºrde
einfach,απλά
leben,ζωή
am,στο
viel,πολύ
tut,κάνει
willst,θέλω
kommen,Έλα
zeit,φορά
nun,έτσι
hatte,είχε
dein,σας
weil,επειδή
kommt,έρχεται
heute,σήμερα
wollen,θέλω
wei√üt,λευκό
damit,με αυτό
frau,γυναίκα
gesagt,είπε
w√§re,πού
ganz,αρκετά
wurde,έγινε
bis,μέχρι
sicher,ασφαλής
kannst,κουτί
zur√ºck,πίσω
dieser,αυτό
wollte,καταζητούμενος
leid,λύπη
lassen,αφήνω
macht,δύναμη
na,δ/υ
gott,Θεός
meinen,μέσο
hallo,Γειά σου
seine,του
zwei,δυο
lass,αφήνω
h√§tte,χ√§ττε
zur,να
waren,ήταν
genau,Ακριβώς
k√∂nnte,k√∂θα μπορούσε
vater,πατέρας
morgen,πρωί
leute,άνθρωποι
klar,σαφής
ok,ΕΝΤΑΞΕΙ
ab,μακριά
tag,ημέρα
gerade,ευθεία
gesehen,ιδωμένος
sch√∂n,σχ√∂ν
glaube,πιστεύω
liebe,αγάπη
geld,χρήματα
durch,διά μέσου
reden,ομιλία
unsere,μας
jemand,κάποιος
mach,κάνω
raus,έξω
sagte,είπε
keinen,κανένας
ob,αν
sollte,θα έπρεπε
gemacht,κατασκευασμένος
mutter,μητέρα
dieses,αυτό
paar,ζευγάρι
sir,Κύριε
passiert,συνέβη
musst,πρέπει
wohl,πιθανώς
m√∂chte,μ√∂chte
besser,καλύτερα
dachte,σκέψη
selbst,ίδιος
her,αυτήν
h√∂r,h√∂r
geh√∂rt,geh√∂rt
wirst,θα
sag,λέγω
ohne,χωρίς
nacht,νύχτα
diesen,αυτό
anderen,άλλοι
meiner,μου
wieso,πώς γίνεται
finden,εύρημα
dort,εκεί
helfen,βοήθεια
meinem,μου
lange,μακρύς
gute,καλός
ordnung,παραγγελία
geben,δίνω
weiter,περαιτέρω
nat√ºrlich,φυσικός
sei,είναι
ins,μέσα στο
gar,ακόμη και
geh,πάω
richtig,σωστός
diesem,αυτό
vom,από το
sagt,λέει
denke,νομίζω
seit,από
gleich,ακόμη και
h√∂ren,h√∂ren
ach,Ω
m√§dchen,μ√§dchen
davon,από αυτό
sieht,βλέπει
ihren,σας
recht,δικαίωμα
daf√ºr,νταφ√ºr
wegen,εξαιτίας
hause,σπίτι
hin,εκεί
warte,Περιμένετε
drei,τρία
deinen,σας
abend,απόγευμα
freund,φίλος
guten,καλός
sollen,θα έπρεπε
sollten,θα έπρεπε
haus,ένα σπίτι
menschen,άνθρωποι
viele,πολοί
bleiben,μένω
machst,κάνω
musik,μουσική
unser,μας
angst,φόβος
schnell,γρήγορα
tot,νεκρός
welt,κόσμος
zusammen,μαζί
habt,έχω
unter,υπό
schei√üe,σκατά
nehmen,παίρνω
eines,ένας
herr,Κύριος
andere,άλλος
getan,έκανε
rein,καθαρός
bringen,φέρω
ganze,ολόκληρο
essen,φάω
kinder,παιδιά
glauben,πιστεύω
genug,αρκετά
darf,Μάιος
junge,αγόρι
stimmt,αληθής
brauchen,ανάγκη
gegen,κατά
moment,στιγμή
erst,πρώτα
seid,εκτάριο
einmal,μια φορά
sonst,αλλιώς
niemand,κανένας
arbeit,εργασία
steht,στάσεις
warten,Περιμένετε
dabei,συμπεριλαμβανομένος
fragen,ερωτήσεις
sofort,αμέσως
jahre,χρόνια
halt,στάση
verdammt,καταραμένος
ihrer,τους
bevor,προτού
sohn,υιός
familie,οικογένεια
hei√üt,χαΐ√üt
jeder,καθένας
sprechen,μιλώ
gefunden,θεμελιώ
sache,ύλη
problem,πρόβλημα
fertig,πλήρης
allein,μόνος
wann,Οταν
brauche,ανάγκη
bruder,αδελφός
hilfe,βοήθεια
halten,αμπάρι
hatten,είχε
kind,παιδί
siehst,εσείς
dar√ºber,ντάρ√ºber
konnte,θα μπορούσε
wahr,αληθής
warst,ήταν
beim,στο
ne,Όχι
seinen,του
beide,και οι δύο
denken,νομίζω
jahren,χρόνια
daran,σε αυτό
kam,ήρθε
dazu,εξάλλου
gib,δίνω
w√ºrden,δύση
verstehe,καταλαβαίνω
deinem,σας
ihrem,τους
deiner,σας
wusste,ήξερε
k√∂nnten,k√∂θα μπορούσε
fall,περίπτωση
lieber,Αγαπητός
eigentlich,πράγματι
bekommen,λαμβάνω
jeden,κάθε
sieh,ματιά
dank,χάρις σε
vergessen,ξεχνώ
kennen,ξέρω
mag,μου αρέσει
sehe,βλέπω
frage,παρακαλώ
gern,ευχαρίστως
komme,Έλα
stadt,πόλη
sage,πριόνι
kopf,κεφάλι
m√§nner,κύριος
egal,δεν έχει σημασία
letzte,τελευταίος
namen,ονόματα
gab,έδωσε
kleine,μικρό
mache,μάρκα
t√∂ten,δέκα
fahren,οδηγώ
all,όλοι
n,ν
sp√§ter,σπερ
uhr,ρολόι
ende,τέλος
baby,μωρό
gehe,πάω
gl√ºck,gl√ºck
dinge,πράγματα
freunde,φίλοι
bisschen,λίγο
sterben,καλούπι
darauf,σε αυτό
bald,σύντομα
minuten,πρακτικά
echt,πραγματικός
bereit,έτοιμος
eins,ένας
augen,μάτια
runter,κάτω
jungs,παιδιά
seiner,του
polizei,αστυνομία
auto,αυτοκίνητο
eure,σας
vielen,πολοί
stehen,στάση
weit,μακριά
meinst,εννοείς
drau√üen,υπαίθριος
t√ºr,t√ºr
dad,μπαμπάς
wurden,έγινε
verr√ºckt,τρελός
kerl,άνθρωπος
h√§tten,χ√§ττεν
einzige,μόνο
vorbei,υπερ
treffen,συναντώ
ganzen,ολόκληρος
hi,Γεια
ahnung,ιδέα
teufel,διάβολος
kenne,ξέρω
hinter,πίσω
fast,σχεδόν
name,όνομα
arbeiten,εργασία
gerne,ευχαρίστως
dran,η σειρά σου
neue,νέος
ziemlich,αρκετά
ruhig,ησυχία
ging,πήγε
sorgen,φροντίζω
verstanden,κατάλαβα
tochter,κόρη
toll,μεγάλος
jemanden,κάποιος
sogar,ακόμη και
√ºberhaupt,√ºκαθόλου
he,αυτός
sp√§t,σπ√§τ
h√∂rt,h√∂rt
frauen,γυναίκες
hand,χέρι
drin,μέσα
schau,ματιά
nimm,παίρνω
seinem,του
mama,μαμά
lang,μακρύς
solltest,θα έπρεπε
verloren,χαμένος
art,τέχνη
sah,πριόνι
verstehen,καταλαβαίνω
gro√üe,gro√üe
darum,επομένως
denkst,νομίζω
job,δουλειά
ruhe,ησυχία
braucht,αναγκαία
woher,από πού
spielen,παιχνίδι
idee,ιδέα
suchen,ζητώ
je,κάθε
kommst,Έλα
liegt,ψέματα
grund,λόγος
versuchen,απόπειρα
jahr,έτος
gekommen,ήρθε
wasser,νερό
gewesen,ήταν
endlich,τελικά
schwester,αδελφή
keiner,κανένας
wenig,λίγοι
tod,θάνατος
versucht,δοκιμασμένος
oben,πάνω από
letzten,τελευταίος
geschichte,ιστορία
erste,πρώτα
alter,ηλικία
kurz,μικρός
bedeutet,μέσα
niemals,ποτέ
ah,εεε
f√ºnf,f√ºnf
welche,ο οποίος
hoch,ψηλά
etwa,περίπου
erz√§hlt,αφηγήθηκε
finde,εύρημα
land,χώρα
lasst,αφήνω
bringt,φέρνει
get√∂tet,get√∂tet
stunden,ώρες
holen,φέρω
schwer,δύσκολος
l√§sst,l√§sst
verlassen,άδεια
anders,διαφορετικός